2017-09-18 23:31:15 [main] INFO 	o.s.b.c.e.t.TomcatEmbeddedServletContainer-[TomcatEmbeddedServletContainer.java:201]-Tomcat started on port(s): 8656 (http)
2017-09-18 23:31:15 [main] INFO 	com.erp.erp.ErpApplication-[StartupInfoLogger.java:57]-Started ErpApplication in 3.169 seconds (JVM running for 3.48)
2017-09-18 23:31:54 [http-nio-8656-exec-1] INFO 	o.a.c.c.C.[.[localhost].[/erp]-[DirectJDKLog.java:179]-Initializing Spring FrameworkServlet 'dispatcherServlet'
2017-09-18 23:31:54 [http-nio-8656-exec-1] INFO 	o.s.web.servlet.DispatcherServlet-[FrameworkServlet.java:489]-FrameworkServlet 'dispatcherServlet': initialization started
2017-09-18 23:31:54 [http-nio-8656-exec-1] INFO 	o.s.web.servlet.DispatcherServlet-[FrameworkServlet.java:508]-FrameworkServlet 'dispatcherServlet': initialization completed in 15 ms
2017-09-19 10:21:59 [Thread-3] INFO 	o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext-[AbstractApplicationContext.java:984]-Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1a0dcaa: startup date [Mon Sep 18 23:31:12 IST 2017]; root of context hierarchy
2017-09-19 10:21:59 [Thread-3] INFO 	o.s.j.e.a.AnnotationMBeanExporter-[MBeanExporter.java:449]-Unregistering JMX-exposed beans on shutdown
2017-09-20 21:58:57 [main] INFO 	com.erp.erp.ErpApplication-[StartupInfoLogger.java:48]-Starting ErpApplication on harshit-ubuntu with PID 23596 (/home/harshit/ERP/erp/target/classes started by harshit in /home/harshit/ERP/erp)
2017-09-20 21:58:57 [main] INFO 	com.erp.erp.ErpApplication-[StartupInfoLogger.java:48]-Starting ErpApplication on harshit-ubuntu with PID 23616 (/home/harshit/ERP/erp/target/classes started by harshit in /home/harshit/ERP/erp)
2017-09-20 21:58:57 [main] INFO 	com.erp.erp.ErpApplication-[SpringApplication.java:593]-No active profile set, falling back to default profiles: default
2017-09-20 21:58:57 [main] INFO 	com.erp.erp.ErpApplication-[SpringApplication.java:593]-No active profile set, falling back to default profiles: default
2017-09-20 21:58:57 [main] INFO 	o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext-[AbstractApplicationContext.java:583]-Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1a0dcaa: startup date [Wed Sep 20 21:58:57 IST 2017]; root of context hierarchy
2017-09-20 21:58:57 [main] INFO 	o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext-[AbstractApplicationContext.java:583]-Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1a0dcaa: startup date [Wed Sep 20 21:58:57 IST 2017]; root of context hierarchy
2017-09-20 21:58:58 [background-preinit] INFO 	o.h.validator.internal.util.Version-[Version.java:30]-HV000001: Hibernate Validator 5.3.5.Final
2017-09-20 21:58:58 [background-preinit] INFO 	o.h.validator.internal.util.Version-[Version.java:30]-HV000001: Hibernate Validator 5.3.5.Final
2017-09-20 21:59:02 [main] INFO 	o.s.b.c.e.t.TomcatEmbeddedServletContainer-[TomcatEmbeddedServletContainer.java:89]-Tomcat initialized with port(s): 8656 (http)
2017-09-20 21:59:02 [main] INFO 	o.s.b.c.e.t.TomcatEmbeddedServletContainer-[TomcatEmbeddedServletContainer.java:89]-Tomcat initialized with port(s): 8656 (http)
2017-09-20 21:59:02 [main] INFO 	o.a.catalina.core.StandardService-[DirectJDKLog.java:179]-Starting service [Tomcat]
2017-09-20 21:59:02 [main] INFO 	o.a.catalina.core.StandardService-[DirectJDKLog.java:179]-Starting service [Tomcat]
2017-09-20 21:59:02 [main] INFO 	o.a.catalina.core.StandardEngine-[DirectJDKLog.java:179]-Starting Servlet Engine: Apache Tomcat/8.5.20
2017-09-20 21:59:02 [main] INFO 	o.a.catalina.core.StandardEngine-[DirectJDKLog.java:179]-Starting Servlet Engine: Apache Tomcat/8.5.20
2017-09-20 21:59:03 [localhost-startStop-1] INFO 	o.a.c.c.C.[.[localhost].[/erp]-[DirectJDKLog.java:179]-Initializing Spring embedded WebApplicationContext
2017-09-20 21:59:03 [localhost-startStop-1] INFO 	o.s.web.context.ContextLoader-[EmbeddedWebApplicationContext.java:276]-Root WebApplicationContext: initialization completed in 5684 ms
2017-09-20 21:59:03 [localhost-startStop-1] INFO 	o.a.c.c.C.[.[localhost].[/erp]-[DirectJDKLog.java:179]-Initializing Spring embedded WebApplicationContext
2017-09-20 21:59:03 [localhost-startStop-1] INFO 	o.s.web.context.ContextLoader-[EmbeddedWebApplicationContext.java:276]-Root WebApplicationContext: initialization completed in 5676 ms
2017-09-20 21:59:03 [localhost-startStop-1] INFO 	o.s.b.w.s.ServletRegistrationBean-[ServletRegistrationBean.java:190]-Mapping servlet: 'dispatcherServlet' to [/]
